date,diesel,e10,e5,weekday,is_holiday
2026-08-27 12:44:55,2.379,2.299,2.359,3,0
2026-08-27 12:59:12,2.369,2.289,2.349,3,0
2026-08-27 13:16:26,2.349,2.259,2.319,3,0
2026-08-27 13:36:46,2.299,2.239,2.299,3,0
2026-08-27 13:57:08,2.249,2.239,2.299,3,0
2026-08-27 14:16:28,2.239,2.229,2.289,3,0
2026-08-27 14:36:51,2.219,2.219,2.279,3,0
2026-08-27 14:57:11,2.199,2.199,2.259,3,0
2026-08-27 15:16:25,2.189,2.149,2.209,3,0
2026-08-27 15:36:42,2.169,2.129,2.189,3,0
2026-08-27 16:19:30,2.149,2.109,2.169,3,0
2026-08-27 16:33:43,2.139,2.109,2.169,3,0
2026-08-27 16:36:45,2.129,2.099,2.159,3,0
2026-08-27 16:57:03,2.119,2.099,2.159,3,0
2026-08-27 21:31:21,2.119,2.089,2.149,3,0
